date_reg|product_code|customer_code|sold_quantity|fiscal_year
2019-09-01|A0118150101|70002017|137|2020
2019-09-01|A0118150101|70002018|47|2020
2019-09-01|A0118150101|70003181|57|2020
2019-09-01|A0118150101|70003182|63|2020
2019-09-01|A0118150101|70004069|9|2020
2019-09-01|A0118150101|70004070|3|2020
2019-09-01|A0118150101|70005163|41|2020
2019-09-01|A0118150101|70006157|61|2020
2019-09-01|A0118150101|70006158|44|2020
2019-09-01|A0118150101|70007198|51|2020
2019-09-01|A0118150101|70007199|46|2020
2019-09-01|A0118150101|70008169|74|2020
2019-09-01|A0118150101|70008170|75|2020
2019-09-01|A0118150101|70009133|14|2020
2019-09-01|A0118150101|70009134|12|2020
2019-09-01|A0118150101|70010047|11|2020
2019-09-01|A0118150101|70011193|6|2020
2019-09-01|A0118150101|70011194|16|2020
2019-09-01|A0118150101|70012042|17|2020
2019-09-01|A0118150101|70012043|20|2020
2019-09-01|A0118150101|70013125|7|2020
2019-09-01|A0118150101|70013126|4|2020
2019-09-01|A0118150101|70014142|19|2020
2019-09-01|A0118150101|70014143|16|2020
2019-09-01|A0118150101|70015151|13|2020
2019-09-01|A0118150101|70016177|5|2020
2019-09-01|A0118150101|70016178|16|2020
2019-09-01|A0118150101|70018115|11|2020
2019-09-01|A0118150101|70022085|40|2020
2019-09-01|A0118150101|70023031|29|2020
2019-09-01|A0118150101|70026206|16|2020
2019-09-01|A0118150101|80001019|56|2020
2019-09-01|A0118150101|80006154|90|2020
2019-09-01|A0118150101|80006155|120|2020
2019-09-01|A0118150101|80007195|131|2020
2019-09-01|A0118150101|90001021|52|2020
2019-09-01|A0118150101|90002001|113|2020
2019-09-01|A0118150101|90002002|151|2020
2019-09-01|A0118150101|90002003|44|2020
2019-09-01|A0118150101|90002005|52|2020
2019-09-01|A0118150101|90002006|143|2020
2019-09-01|A0118150101|90002007|114|2020
2019-09-01|A0118150101|90002009|128|2020
2019-09-01|A0118150101|90002010|59|2020
2019-09-01|A0118150101|90002011|54|2020
2019-09-01|A0118150101|90002013|137|2020
2019-09-01|A0118150101|90002014|166|2020
2019-09-01|A0118150101|90002015|91|2020
